"","time","temp","dwpt","rhum","prcp","snow","wdir","wspd","wpgt","pres","tsun","coco"
"1","2024-12-01 00:00:00",2.8,-2.8,57,0,NA,0,0,NA,1021.4,NA,1
"2","2024-12-01 01:00:00",2.8,-2.1,70,0,NA,0,0,NA,1021.4,NA,2
"3","2024-12-01 02:00:00",1.1,-2.1,73,0,NA,0,0,NA,1022,NA,2
"4","2024-12-01 03:00:00",0.6,-2.8,75,0,NA,0,0,NA,1022.7,NA,1
"5","2024-12-01 04:00:00",-0.6,-3.3,75,0,NA,0,0,NA,1023,NA,1
"6","2024-12-01 05:00:00",-1.1,-3.3,82,0,NA,160,5.4,NA,1023.5,NA,2
"7","2024-12-01 06:00:00",-1.1,-3.3,85,0,NA,160,5.4,NA,1023.5,NA,1
"8","2024-12-01 07:00:00",0,-3.3,85,0,NA,0,0,NA,1024,NA,3
"9","2024-12-01 08:00:00",0.6,-2.9,81,0,NA,0,0,NA,1024.3,NA,3
"10","2024-12-01 09:00:00",0,-2.1,82,0,NA,330,5.4,NA,1024.6,NA,3
"11","2024-12-01 10:00:00",0,-2.2,85,0,NA,330,5.4,NA,1024.6,NA,3
"12","2024-12-01 11:00:00",0,-2.2,85,0,NA,320,7.6,NA,1025.5,NA,3
"13","2024-12-01 12:00:00",0,-1.8,88,0,NA,0,0,NA,1026.3,NA,5
"14","2024-12-01 13:00:00",-0.6,-3.3,92,0,NA,70,5.4,NA,1027.1,NA,5
"15","2024-12-01 14:00:00",-0.6,-2.2,89,0,NA,70,5.4,NA,1027.1,NA,5
"16","2024-12-01 15:00:00",0.6,-1.7,92,0,NA,40,5.4,NA,1028.4,NA,5
"17","2024-12-01 16:00:00",0.6,-0.6,92,0,NA,40,5.4,NA,1028.4,NA,5
"18","2024-12-01 17:00:00",3.9,-0.1,85,0,NA,0,0,NA,1028,NA,5
"19","2024-12-01 18:00:00",6.7,0.6,79,0,NA,0,7.6,NA,1027.2,NA,2
"20","2024-12-01 19:00:00",8.3,0.6,65,0,NA,60,7.6,NA,1026.6,NA,1
"21","2024-12-01 20:00:00",8.9,0.5,58,0,NA,60,9.4,NA,1026,NA,1
"22","2024-12-01 21:00:00",9.4,0.1,54,0,NA,60,5.4,NA,1026.3,NA,1
"23","2024-12-01 22:00:00",9.4,-1.6,46,0,NA,50,5.4,NA,1026.3,NA,1
"24","2024-12-01 23:00:00",3.9,-2.3,51,0,NA,0,0,NA,1027.1,NA,1
"25","2024-12-02 00:00:00",1.1,-1.7,67,0,NA,0,0,NA,1027.8,NA,1
"26","2024-12-02 01:00:00",-0.6,-2.1,79,0,NA,0,0,NA,1028.5,NA,1
"27","2024-12-02 02:00:00",-0.6,-2.8,85,0,NA,0,0,NA,1028.5,NA,1
"28","2024-12-02 03:00:00",-1.7,-2.8,85,0,NA,0,0,NA,1029,NA,1
"29","2024-12-02 04:00:00",-2.2,-3.3,89,0,NA,0,0,NA,1028.9,NA,1
"30","2024-12-02 05:00:00",-2.2,-3.9,88,0,NA,0,0,NA,1028.9,NA,5
"31","2024-12-02 06:00:00",-2.8,-4.4,89,0,NA,0,0,NA,1028.3,NA,1
"32","2024-12-02 07:00:00",-2.8,-5,85,0,NA,0,0,NA,1028.3,NA,1
"33","2024-12-02 08:00:00",-2.8,-5,85,0,NA,0,0,NA,1028.3,NA,1
"34","2024-12-02 09:00:00",-2.8,-4.4,89,0,NA,0,0,NA,1028.4,NA,1
"35","2024-12-02 10:00:00",-2.8,-5,85,0,NA,0,0,NA,1028.4,NA,1
"36","2024-12-02 11:00:00",-3.3,-5,88,0,NA,0,0,NA,1029.3,NA,1
"37","2024-12-02 12:00:00",-3.9,-5.6,84,0,NA,0,0,NA,1029.8,NA,1
"38","2024-12-02 13:00:00",-3.3,-6.1,85,0,NA,0,0,NA,1030.4,NA,1
"39","2024-12-02 14:00:00",0.6,-5,88,0,NA,0,0,NA,1030.7,NA,1
"40","2024-12-02 15:00:00",6.1,-1.6,85,0,NA,0,0,NA,1031,NA,1
"41","2024-12-02 16:00:00",6.1,1,70,0,NA,0,0,NA,1031,NA,1
"42","2024-12-02 17:00:00",10,0.6,56,0,NA,310,14.8,NA,1029.9,NA,1
"43","2024-12-02 18:00:00",11.1,1.1,54,0,NA,300,22.3,NA,1029.5,NA,1
"44","2024-12-02 19:00:00",11.7,-0.1,46,0,NA,340,20.5,NA,1029.3,NA,1
"45","2024-12-02 20:00:00",11.7,-1.1,41,0,NA,340,20.5,NA,1029.3,NA,1
"46","2024-12-02 21:00:00",8.9,-2.8,39,0,NA,340,16.6,NA,1030.5,NA,1
"47","2024-12-02 22:00:00",6.7,-3.3,42,0,NA,350,18.4,NA,1031.3,NA,1
"48","2024-12-02 23:00:00",3.9,-5,43,0,NA,340,13,NA,1032,NA,1
"49","2024-12-03 00:00:00",2.8,-3.4,59,0,NA,360,9.4,NA,1032.9,NA,1
"50","2024-12-03 01:00:00",2.8,-4.9,57,0,NA,360,9.4,NA,1032.9,NA,1
"51","2024-12-03 02:00:00",0,-5.7,58,0,NA,0,0,NA,1034,NA,1
"52","2024-12-03 03:00:00",-0.6,-5.6,66,0,NA,30,5.4,NA,1034.2,NA,1
"53","2024-12-03 04:00:00",-1.1,-6.2,66,0,NA,0,0,NA,1034,NA,1
"54","2024-12-03 05:00:00",-1.1,-6.6,66,0,NA,0,0,NA,1034,NA,1
"55","2024-12-03 06:00:00",-2.2,-7.2,66,0,NA,40,5.4,NA,1034.3,NA,1
"56","2024-12-03 07:00:00",-2.8,-7.1,69,0,NA,50,5.4,NA,1034.2,NA,1
"57","2024-12-03 08:00:00",-2.8,-7.1,72,0,NA,0,0,NA,1034.5,NA,1
"58","2024-12-03 09:00:00",-3.3,-7.7,69,0,NA,0,0,NA,1034.6,NA,1
"59","2024-12-03 10:00:00",-3.9,-7.8,71,0,NA,0,0,NA,1034.8,NA,1
"60","2024-12-03 11:00:00",-3.9,-7.9,74,0,NA,0,0,NA,1034.8,NA,1
"61","2024-12-03 12:00:00",-5.6,-8.3,74,0,NA,0,0,NA,1035.5,NA,1
"62","2024-12-03 13:00:00",-5,-8.3,81,0,NA,0,0,NA,1035.8,NA,1
"63","2024-12-03 14:00:00",-2.8,-7.1,85,0,NA,170,5.4,NA,1035.6,NA,1
"64","2024-12-03 15:00:00",1.7,-6.1,78,0,NA,170,5.4,NA,1035.3,NA,1
"65","2024-12-03 16:00:00",1.7,-5.7,58,0,NA,170,5.4,NA,1035.3,NA,1
"66","2024-12-03 17:00:00",6.1,-5.6,50,0,NA,0,0,NA,1033.2,NA,1
"67","2024-12-03 18:00:00",8.3,-5.6,43,0,NA,250,9.4,NA,1031.7,NA,1
"68","2024-12-03 19:00:00",8.3,-6.7,34,0,NA,200,14.8,NA,1030.8,NA,1
"69","2024-12-03 20:00:00",8.3,-5.9,36,0,NA,230,11.2,NA,1030.1,NA,1
"70","2024-12-03 21:00:00",8.3,-5.6,37,0,NA,230,11.2,NA,1030.1,NA,1
"71","2024-12-03 22:00:00",5.6,-5,40,0,NA,200,13,NA,1029.1,NA,1
"72","2024-12-03 23:00:00",5,-5.1,46,0,NA,200,16.6,NA,1028.8,NA,1
"73","2024-12-04 00:00:00",5,-5.1,48,0,NA,200,16.6,NA,1028.8,NA,1
"74","2024-12-04 01:00:00",5,-4.3,51,0,NA,200,20.5,NA,1027.5,NA,1
"75","2024-12-04 02:00:00",4.4,-4.3,51,0,NA,200,22.3,NA,1027.1,NA,1
"76","2024-12-04 03:00:00",5,-4.4,53,0,NA,200,24.1,NA,1026.4,NA,1
"77","2024-12-04 04:00:00",5,-4.3,51,0,NA,210,18.4,NA,1026,NA,1
"78","2024-12-04 05:00:00",3.9,-3.8,53,0,NA,210,11.2,NA,1025.7,NA,1
"79","2024-12-04 06:00:00",3.9,-3.4,59,0,NA,210,11.2,NA,1025.7,NA,1
"80","2024-12-04 07:00:00",5.6,-2.7,60,0,NA,200,22.3,NA,1024,NA,1
"81","2024-12-04 08:00:00",5,-2.3,57,0,NA,200,16.6,NA,1023.7,NA,1
"82","2024-12-04 09:00:00",6.7,-2.1,60,0,NA,190,14.8,NA,1022.8,NA,2
"83","2024-12-04 10:00:00",6.7,-1,58,0,NA,190,14.8,NA,1022.8,NA,1
"84","2024-12-04 11:00:00",6.1,-0.5,60,0,NA,200,9.4,NA,1022.6,NA,1
"85","2024-12-04 12:00:00",8.3,0,65,0,NA,210,13,NA,1022.1,NA,1
"86","2024-12-04 13:00:00",8.9,1.2,61,0,NA,220,14.8,NA,1021.6,NA,2
"87","2024-12-04 14:00:00",10,1.8,61,0,NA,200,16.6,NA,1021.5,NA,1
"88","2024-12-04 15:00:00",10,2.1,58,0,NA,200,16.6,NA,1021.5,NA,1
"89","2024-12-04 16:00:00",12.8,2.2,56,0,NA,240,18.4,NA,1021,NA,1
"90","2024-12-04 17:00:00",14.4,2.3,49,0,NA,240,29.5,NA,1019.9,NA,1
"91","2024-12-04 18:00:00",16.1,3.2,47,0,NA,220,20.5,NA,1018.6,NA,1
"92","2024-12-04 19:00:00",16.7,3.8,44,0,NA,240,20.5,NA,1017.9,NA,1
"93","2024-12-04 20:00:00",16.7,5,46,0,NA,250,13,NA,1018.2,NA,1
"94","2024-12-04 21:00:00",16.7,5.6,48,0,NA,250,13,NA,1018.2,NA,1
"95","2024-12-04 22:00:00",13.9,5.1,48,0,NA,290,9.4,NA,1018.6,NA,1
"96","2024-12-04 23:00:00",11.7,5,55,0,NA,280,7.6,NA,1019.3,NA,1
"97","2024-12-05 00:00:00",11.7,4,59,0,NA,0,0,NA,1020.2,NA,1
"98","2024-12-05 01:00:00",5.6,2.8,82,0,NA,0,0,NA,1020.2,NA,1
"99","2024-12-05 02:00:00",4.4,2.2,82,0,NA,170,5.4,NA,1021.6,NA,1
"100","2024-12-05 03:00:00",4.4,1.8,83,0,NA,0,0,NA,1022.1,NA,1
"101","2024-12-05 04:00:00",2.8,1.2,89,0,NA,0,0,NA,1022.8,NA,1
"102","2024-12-05 05:00:00",1.7,0.1,89,0,NA,0,0,NA,1022.8,NA,1
"103","2024-12-05 06:00:00",1.7,0.1,89,0,NA,0,0,NA,1023.6,NA,1
"104","2024-12-05 07:00:00",1.1,-0.7,88,0,NA,0,0,NA,1023.6,NA,1
"105","2024-12-05 08:00:00",6.1,-1.6,82,0,NA,10,7.6,NA,1024.9,NA,1
"106","2024-12-05 09:00:00",6.1,-0.6,62,0,NA,350,7.6,NA,1024.9,NA,1
"107","2024-12-05 10:00:00",3.3,-4.3,51,0,NA,350,16.6,NA,1026.5,NA,1
"108","2024-12-05 11:00:00",2.2,-9,40,0,NA,360,14.8,NA,1027.8,NA,1
"109","2024-12-05 12:00:00",2.2,-9.4,42,0,NA,360,14.8,NA,1027.8,NA,1
"110","2024-12-05 13:00:00",0,-10,45,0,NA,360,9.4,NA,1030.4,NA,1
"111","2024-12-05 14:00:00",0,-12.6,38,0,NA,10,24.1,NA,1030.8,NA,1
"112","2024-12-05 15:00:00",0.6,-15.9,29,0,NA,30,16.6,NA,1031.7,NA,1
"113","2024-12-05 16:00:00",0.6,-16.7,26,0,NA,30,16.6,NA,1031.7,NA,1
"114","2024-12-05 17:00:00",3.3,-15.8,26,0,NA,350,14.8,NA,1031.4,NA,1
"115","2024-12-05 18:00:00",3.9,-14.9,25,0,NA,350,9.4,NA,1030.7,NA,1
"116","2024-12-05 19:00:00",4.4,-14.9,24,0,NA,12,9.4,NA,1030.4,NA,1
"117","2024-12-05 20:00:00",3.3,-15,23,0,NA,30,11.2,NA,1030.3,NA,1
"118","2024-12-05 21:00:00",3.3,-14.9,25,0,NA,30,11.2,NA,1030.3,NA,1
"119","2024-12-05 22:00:00",1.7,-13.9,27,0,NA,350,9.4,NA,1030.7,NA,1
"120","2024-12-05 23:00:00",0.6,-14.1,30,0,NA,350,13,NA,1031.1,NA,1
"121","2024-12-06 00:00:00",-0.6,-13.1,35,0,NA,10,7.6,NA,1031.8,NA,1
"122","2024-12-06 01:00:00",-1.1,-12.9,39,0,NA,0,0,NA,1032,NA,1
"123","2024-12-06 02:00:00",-1.1,-12.7,41,0,NA,0,0,NA,1032,NA,2
"124","2024-12-06 03:00:00",-3.3,-11.7,48,0,NA,0,0,NA,1032.1,NA,1
"125","2024-12-06 04:00:00",-2.8,-10.6,57,0,NA,0,5.4,NA,1031.9,NA,1
"126","2024-12-06 05:00:00",-3.9,-11.8,50,0,NA,0,0,NA,1032.1,NA,1
"127","2024-12-06 06:00:00",-3.9,-11.2,57,0,NA,0,0,NA,1032.1,NA,1
"128","2024-12-06 07:00:00",-3.9,-10.5,60,0,NA,0,0,NA,1032.1,NA,1
"129","2024-12-06 08:00:00",-6.1,-11.2,57,0,NA,0,0,NA,1032.5,NA,1
"130","2024-12-06 09:00:00",-6.1,-10.5,71,0,NA,0,0,NA,1032.7,NA,1
"131","2024-12-06 10:00:00",-6.1,-10,74,0,NA,0,0,NA,1032.7,NA,1
"132","2024-12-06 11:00:00",-6.7,-10,74,0,NA,0,0,NA,1032.5,NA,1
"133","2024-12-06 12:00:00",-6.7,-9.4,81,0,NA,0,0,NA,1032.9,NA,1
"134","2024-12-06 13:00:00",-5.6,-9.4,81,0,NA,0,0,NA,1032.8,NA,1
"135","2024-12-06 14:00:00",-2.8,-8.3,81,0,NA,0,0,NA,1033.2,NA,1
"136","2024-12-06 15:00:00",1.7,-7.7,69,0,NA,170,11.2,NA,1033.1,NA,1
"137","2024-12-06 16:00:00",1.7,-9,45,0,NA,170,11.2,NA,1033.1,NA,1
"138","2024-12-06 17:00:00",6.1,-9.4,36,0,NA,0,0,NA,1031,NA,1
"139","2024-12-06 18:00:00",8.3,-9.8,31,0,NA,230,9.4,NA,1029.5,NA,1
"140","2024-12-06 19:00:00",9.4,-10.6,25,0,NA,220,14.8,NA,1028.5,NA,1
"141","2024-12-06 20:00:00",9.4,-10.7,23,0,NA,220,14.8,NA,1028.5,NA,3
"142","2024-12-06 21:00:00",9.4,-12,20,0,NA,220,13,NA,1028,NA,3
"143","2024-12-06 22:00:00",7.2,-10.2,24,0,NA,210,11.2,NA,1028.2,NA,3
"144","2024-12-06 23:00:00",4.4,-10.1,28,0,NA,200,11.2,NA,1028.5,NA,1
"145","2024-12-07 00:00:00",4.4,-9.4,36,0,NA,200,11.2,NA,1028.5,NA,2
"146","2024-12-07 01:00:00",2.8,-8.8,44,0,NA,220,5.4,NA,1028.3,NA,3
"147","2024-12-07 02:00:00",1.1,-8.9,42,0,NA,0,0,NA,1028,NA,3
"148","2024-12-07 03:00:00",-0.6,-7.7,52,0,NA,0,0,NA,1028.1,NA,3
"149","2024-12-07 04:00:00",-0.6,-6.8,63,0,NA,0,0,NA,1028.1,NA,1
"150","2024-12-07 05:00:00",0.6,-7.3,58,0,NA,180,5.4,NA,1027.3,NA,1
"151","2024-12-07 06:00:00",0.6,-7.2,56,0,NA,190,9.4,NA,1027.1,NA,3
"152","2024-12-07 07:00:00",3.3,-7.2,56,0,NA,210,11.2,NA,1026.6,NA,3
"153","2024-12-07 08:00:00",4.4,-7.2,46,0,NA,230,13,NA,1027,NA,2
"154","2024-12-07 09:00:00",2.8,-7.1,43,0,NA,220,9.4,NA,1027.2,NA,1
"155","2024-12-07 10:00:00",2.8,-7.1,48,0,NA,220,9.4,NA,1027.2,NA,1
"156","2024-12-07 11:00:00",1.7,-7.7,46,0,NA,220,11.2,NA,1027.1,NA,1
"157","2024-12-07 12:00:00",1.7,-7.1,52,0,NA,220,11.2,NA,1027.1,NA,1
"158","2024-12-07 13:00:00",-0.6,-6.8,63,0,NA,0,0,NA,1027.3,NA,1
"159","2024-12-07 14:00:00",7.8,-5,66,0,NA,200,7.6,NA,1026.9,NA,1
"160","2024-12-07 15:00:00",7.8,-6,37,0,NA,200,7.6,NA,1026.9,NA,1
"161","2024-12-07 16:00:00",11.7,-4.9,31,0,NA,220,16.6,NA,1026.7,NA,1
"162","2024-12-07 17:00:00",13.3,-3.9,30,0,NA,230,24.1,NA,1025.7,NA,1
"163","2024-12-07 18:00:00",15,-2.9,29,0,NA,240,18.4,NA,1024.2,NA,1
"164","2024-12-07 19:00:00",16.1,-0.6,32,0,NA,230,22.3,NA,1022.9,NA,1
"165","2024-12-07 20:00:00",16.7,-0.5,31,0,NA,210,22.3,NA,1022.3,NA,1
"166","2024-12-07 21:00:00",15,0.8,38,0,NA,200,18.4,NA,1021.9,NA,1
"167","2024-12-07 22:00:00",13.9,0.5,40,0,NA,210,22.3,NA,1022,NA,1
"168","2024-12-07 23:00:00",11.7,-0.5,43,0,NA,210,11.2,NA,1021.8,NA,1
"169","2024-12-08 00:00:00",10.6,0.6,50,0,NA,190,11.2,NA,1022,NA,1
"170","2024-12-08 01:00:00",11.1,2.9,57,0,NA,200,13,NA,1021.8,NA,1
"171","2024-12-08 02:00:00",11.7,3.2,56,0,NA,200,18.4,NA,1022,NA,1
"172","2024-12-08 03:00:00",11.1,4.3,63,0,NA,200,13,NA,1021.1,NA,1
"173","2024-12-08 04:00:00",11.1,3.4,59,0,NA,220,13,NA,1021.6,NA,1
"174","2024-12-08 05:00:00",11.1,3.4,59,0,NA,200,14.8,NA,1020.4,NA,1
"175","2024-12-08 06:00:00",10.6,3.4,61,0,NA,210,14.8,NA,1020.2,NA,1
"176","2024-12-08 07:00:00",10.6,4.5,66,0,NA,220,13,NA,1019.4,NA,3
"177","2024-12-08 08:00:00",10,4.4,68,0,NA,210,7.6,NA,1019,NA,1
"178","2024-12-08 09:00:00",10,5,71,0,NA,180,14.8,NA,1018.4,NA,3
"179","2024-12-08 10:00:00",9.4,6.1,80,0,NA,190,14.8,NA,1017.9,NA,2
"180","2024-12-08 11:00:00",8.9,6.2,83,0,NA,200,14.8,NA,1017.4,NA,1
"181","2024-12-08 12:00:00",8.9,6.2,83,0,NA,200,11.2,NA,1017.1,NA,1
"182","2024-12-08 13:00:00",8.9,6.7,86,0,NA,180,20.5,NA,1017,NA,1
"183","2024-12-08 14:00:00",9.4,6.7,83,0,NA,190,20.5,NA,1016.5,NA,3
"184","2024-12-08 15:00:00",9.4,6.7,83,0,NA,190,11.2,NA,1016,NA,1
"185","2024-12-08 16:00:00",10,7.2,83,0,NA,190,9.4,NA,1015.6,NA,2
"186","2024-12-08 17:00:00",11.1,7.2,77,0,NA,180,11.2,NA,1014.6,NA,3
"187","2024-12-08 18:00:00",11.1,7.8,80,0,NA,170,22.3,NA,1012.9,NA,3
"188","2024-12-08 19:00:00",10.6,8.4,86,0,NA,180,24.1,NA,1011.8,NA,3
"189","2024-12-08 20:00:00",10,8.3,89,1,NA,180,13,NA,1013.3,NA,9
"190","2024-12-08 21:00:00",10,8.3,89,1.9,NA,190,11.2,NA,1010.2,NA,9
"191","2024-12-08 22:00:00",10,8.3,89,0,NA,190,20.5,NA,1009,NA,3
"192","2024-12-08 23:00:00",10,8.3,89,0,NA,210,18.4,NA,1009.2,NA,3
"193","2024-12-09 00:00:00",10,8.3,89,0,NA,200,13,NA,1008.9,NA,3
"194","2024-12-09 01:00:00",10,8.3,89,0,NA,190,16.6,NA,1009.2,NA,3
"195","2024-12-09 02:00:00",10,8.3,89,0,NA,170,5.4,NA,1009.3,NA,3
"196","2024-12-09 03:00:00",10,8.3,89,0,NA,230,13,NA,1009.8,NA,3
"197","2024-12-09 04:00:00",9.4,8.3,93,0,NA,200,13,NA,1010.2,NA,3
"198","2024-12-09 05:00:00",9.4,7.2,86,0,NA,230,13,NA,1010,NA,5
"199","2024-12-09 06:00:00",9.4,7.2,86,0,NA,240,11.2,NA,1010.5,NA,5
"200","2024-12-09 07:00:00",9.4,7.8,90,0,NA,200,9.4,NA,1010.4,NA,3
"201","2024-12-09 08:00:00",9.4,7.8,90,0,NA,210,7.6,NA,1010.4,NA,3
"202","2024-12-09 09:00:00",9.4,8.3,93,0,NA,0,0,NA,1010.8,NA,3
"203","2024-12-09 10:00:00",9.4,8.3,93,0,NA,0,0,NA,1010.5,NA,3
"204","2024-12-09 11:00:00",9.4,8.3,93,0,NA,0,0,NA,1010.4,NA,3
"205","2024-12-09 12:00:00",9.4,8.3,93,0,NA,0,0,NA,1010.6,NA,5
"206","2024-12-09 13:00:00",9.4,8.3,93,0,NA,0,0,NA,1011.7,NA,5
"207","2024-12-09 14:00:00",9.4,8.3,93,0,NA,120,5.4,NA,1011.9,NA,5
"208","2024-12-09 15:00:00",10,7.8,86,0,NA,90,5.4,NA,1012.1,NA,5
"209","2024-12-09 16:00:00",10,7.8,86,0,NA,90,5.4,NA,1012.2,NA,5
"210","2024-12-09 17:00:00",10.6,7.8,83,0,NA,80,9.4,NA,1011.3,NA,5
