"","time","temp","dwpt","rhum","prcp","snow","wdir","wspd","wpgt","pres","tsun","coco"
"1","2024-10-01 00:00:00",25,20,74,0,NA,0,0,NA,1015,NA,1
"2","2024-10-01 01:00:00",23,19,78,0,NA,0,0,NA,1016,NA,1
"3","2024-10-01 02:00:00",21.3,14.9,67,0,NA,78,12.2,NA,1014.9,NA,2
"4","2024-10-01 03:00:00",20.3,15.3,73,0,NA,95,10.1,NA,1015.7,NA,1
"5","2024-10-01 04:00:00",19.4,15.3,77,0,NA,124,9.4,NA,1016.1,NA,1
"6","2024-10-01 05:00:00",18.8,15.3,80,0,NA,125,7.6,NA,1016.4,NA,1
"7","2024-10-01 06:00:00",18.4,15.3,82,0,NA,135,7.6,NA,1016.7,NA,1
"8","2024-10-01 07:00:00",17.4,15.4,88,0,NA,157,6.5,NA,1017,NA,1
"9","2024-10-01 08:00:00",16.8,15.1,90,0,NA,104,5,NA,1017.2,NA,1
"10","2024-10-01 09:00:00",16.4,15.1,92,0,NA,60,3.2,NA,1017.5,NA,1
"11","2024-10-01 10:00:00",16,16,100,0,NA,0,0,NA,1020,NA,1
"12","2024-10-01 11:00:00",17,17,100,0,NA,340,7.6,NA,1021,NA,1
"13","2024-10-01 12:00:00",18,18,100,0,NA,350,11.2,NA,1022,NA,1
"14","2024-10-01 13:00:00",19,17,88,0,NA,20,15,NA,1023,NA,1
"15","2024-10-01 14:00:00",20,13.9,68,0,NA,20,22.3,NA,1023,NA,1
"16","2024-10-01 15:00:00",22,14.1,61,0,NA,360,14.8,NA,1024,NA,1
"17","2024-10-01 16:00:00",23,14,57,0,NA,40,18.4,NA,1024,NA,1
"18","2024-10-01 17:00:00",25,12.9,47,0,NA,20,20,NA,1023,NA,1
"19","2024-10-01 18:00:00",26,13.2,45,0,NA,340,22.3,NA,1023,NA,1
"20","2024-10-01 19:00:00",27,11.9,39,0,NA,360,20.5,NA,1022,NA,1
"21","2024-10-01 20:00:00",27,9.8,34,0,NA,350,22.3,NA,1022,NA,1
"22","2024-10-01 21:00:00",26,8,32,0,NA,350,20,NA,1022,NA,1
"23","2024-10-01 22:00:00",25,7.2,32,0,NA,350,15,NA,1021,NA,1
"24","2024-10-01 23:00:00",22,7,38,0,NA,350,14.8,NA,1022,NA,1
"25","2024-10-02 00:00:00",20,7,43,0,NA,360,13,NA,1022,NA,1
"26","2024-10-02 01:00:00",19,7.1,46,0,NA,360,11.2,NA,1022,NA,1
"27","2024-10-02 02:00:00",17.3,4.6,43,0,NA,19,11.9,NA,1021.4,NA,1
"28","2024-10-02 03:00:00",16.4,5.1,47,0,NA,21,10.8,NA,1021.8,NA,1
"29","2024-10-02 04:00:00",15.4,5.6,52,0,NA,34,11.2,NA,1021.9,NA,1
"30","2024-10-02 05:00:00",14.7,6.3,57,0,NA,45,10.8,NA,1021.8,NA,1
"31","2024-10-02 06:00:00",13.9,6.5,61,0,NA,59,10.1,NA,1021.3,NA,1
"32","2024-10-02 07:00:00",13.2,6.1,62,0,NA,71,10.1,NA,1020.9,NA,1
"33","2024-10-02 08:00:00",12.6,6.2,65,0,NA,76,9.7,NA,1020.9,NA,1
"34","2024-10-02 09:00:00",12.2,6.5,68,0,NA,85,9.7,NA,1020.8,NA,1
"35","2024-10-02 10:00:00",10,7.9,87,0,NA,90,5.4,NA,1021,NA,1
"36","2024-10-02 11:00:00",10,7.9,87,0,NA,0,0,NA,1021,NA,1
"37","2024-10-02 12:00:00",10,7.9,87,0,NA,106,9.7,NA,1021,NA,1
"38","2024-10-02 13:00:00",14,8,67,0,NA,0,0,NA,1021,NA,1
"39","2024-10-02 14:00:00",17,7.1,52,0,NA,140,9,NA,1021,NA,1
"40","2024-10-02 15:00:00",20,9,49,0,NA,120,5.4,NA,1021,NA,1
"41","2024-10-02 16:00:00",22,7,38,0,NA,0,0,NA,1020,NA,1
"42","2024-10-02 17:00:00",24,8,36,0,NA,0,0,NA,1019,NA,1
"43","2024-10-02 18:00:00",25,8.1,34,0,NA,160,7,NA,1018,NA,1
"44","2024-10-02 19:00:00",27,8,30,0,NA,190,7.6,NA,1017,NA,1
"45","2024-10-02 20:00:00",27,8,30,0,NA,160,7.6,NA,1016,NA,1
"46","2024-10-02 21:00:00",28,7.8,28,0,NA,260,9.4,NA,1015,NA,1
"47","2024-10-02 22:00:00",28,8.8,30,0,NA,250,9,NA,1015,NA,1
"48","2024-10-02 23:00:00",26,8.9,34,0,NA,230,5.4,NA,1015,NA,1
"49","2024-10-03 00:00:00",23,9,41,0,NA,180,7,NA,1015,NA,1
"50","2024-10-03 01:00:00",21,8.9,46,0,NA,180,9.4,NA,1015,NA,1
"51","2024-10-03 02:00:00",18.5,4.6,40,0,NA,184,12.6,NA,1014.2,NA,1
"52","2024-10-03 03:00:00",17.5,4.4,42,0,NA,172,11.9,NA,1014.2,NA,1
"53","2024-10-03 04:00:00",17.2,3.5,40,0,NA,171,11.5,NA,1014.5,NA,1
"54","2024-10-03 05:00:00",17.1,3.7,41,0,NA,169,11.9,NA,1014.4,NA,1
"55","2024-10-03 06:00:00",17.1,4.7,44,0,NA,168,12.6,NA,1014.4,NA,1
"56","2024-10-03 07:00:00",16.9,5.2,46,0,NA,169,12.6,NA,1014.3,NA,1
"57","2024-10-03 08:00:00",17,5,45,0,NA,173,12.2,NA,1013.8,NA,1
"58","2024-10-03 09:00:00",16.8,6,49,0,NA,176,11.5,NA,1013.6,NA,1
"59","2024-10-03 10:00:00",15,10,72,0,NA,130,6,NA,1016,NA,1
"60","2024-10-03 11:00:00",16,11,72,0,NA,130,7.6,NA,1016,NA,1
"61","2024-10-03 12:00:00",17,11.9,72,0,NA,120,6,NA,1016,NA,1
"62","2024-10-03 13:00:00",20,13,64,0,NA,130,7.6,NA,1017,NA,1
"63","2024-10-03 14:00:00",23,15.1,61,0,NA,160,9,NA,1017,NA,1
"64","2024-10-03 15:00:00",27,16.9,54,0,NA,190,13,NA,1017,NA,1
"65","2024-10-03 16:00:00",29,19,55,0,NA,250,14.8,NA,1017,NA,1
"66","2024-10-03 17:00:00",30,19.1,52,0,NA,200,7,NA,1016,NA,1
"67","2024-10-03 18:00:00",31,19,49,0,NA,240,11.2,NA,1016,NA,1
"68","2024-10-03 19:00:00",31,19,49,0,NA,170,19,NA,1015,NA,1
"69","2024-10-03 20:00:00",31,19,49,0,NA,210,16.6,NA,1015,NA,1
"70","2024-10-03 21:00:00",31,18,46,0,NA,200,9.4,NA,1015,NA,1
"71","2024-10-03 22:00:00",30,18.1,49,0,NA,190,17,NA,1015,NA,1
"72","2024-10-03 23:00:00",28,16.9,51,0,NA,220,13,NA,1016,NA,1
"73","2024-10-04 00:00:00",26,16,54,0,NA,200,9,NA,1016,NA,1
"74","2024-10-04 01:00:00",22,16.1,69,0,NA,140,5.4,NA,1017,NA,1
"75","2024-10-04 02:00:00",21.4,12.3,56,0,NA,172,11.9,NA,1015.5,NA,1
"76","2024-10-04 03:00:00",20.5,10.6,53,0,NA,161,12.2,NA,1016.6,NA,1
"77","2024-10-04 04:00:00",19.9,10.3,54,0,NA,159,11.9,NA,1017.1,NA,1
"78","2024-10-04 05:00:00",19.4,10.1,55,0,NA,161,12.6,NA,1017.5,NA,1
"79","2024-10-04 06:00:00",18.9,9.9,56,0,NA,168,11.2,NA,1017.6,NA,1
"80","2024-10-04 07:00:00",18.4,9.5,56,0,NA,173,10.8,NA,1017.7,NA,1
"81","2024-10-04 08:00:00",18,9.4,57,0,NA,180,10.1,NA,1017.8,NA,1
"82","2024-10-04 09:00:00",17.9,9.3,57,0,NA,183,9,NA,1017.8,NA,1
"83","2024-10-04 10:00:00",16,12,77,0,NA,0,0,NA,1020,NA,1
"84","2024-10-04 11:00:00",15,12,82,0,NA,0,0,NA,1021,NA,1
"85","2024-10-04 12:00:00",15,13,88,0,NA,0,0,NA,1021,NA,1
"86","2024-10-04 13:00:00",21,12.9,60,0,NA,204,4.7,NA,1022,NA,1
"87","2024-10-04 14:00:00",24,14.1,54,0,NA,0,0,NA,1022,NA,1
"88","2024-10-04 15:00:00",26,14.1,48,0,NA,220,7.6,NA,1022,NA,1
"89","2024-10-04 16:00:00",29,15.9,45,0,NA,207,7.6,NA,1022,NA,1
"90","2024-10-04 17:00:00",31,18,46,0,NA,330,7,NA,1022,NA,1
"91","2024-10-04 18:00:00",32,20,49,0,NA,50,9.4,NA,1021,NA,1
"92","2024-10-04 19:00:00",32,18.9,46,0,NA,130,5.4,NA,1020,NA,1
"93","2024-10-04 20:00:00",32,17.9,43,0,NA,0,0,NA,1020,NA,1
"94","2024-10-04 21:00:00",33,18,41,0,NA,80,13,NA,1020,NA,1
"95","2024-10-04 22:00:00",31,17,43,0,NA,100,11,NA,1020,NA,1
"96","2024-10-04 23:00:00",30,17.1,46,0,NA,110,7.6,NA,1021,NA,1
"97","2024-10-05 00:00:00",28,16,48,0,NA,140,5.4,NA,1021,NA,1
"98","2024-10-05 01:00:00",26,16,54,0,NA,130,5.4,NA,1022,NA,1
"99","2024-10-05 02:00:00",22.1,13.2,57,0,NA,146,11.2,NA,1020,NA,1
"100","2024-10-05 03:00:00",21.3,12.7,58,0,NA,155,11.5,NA,1020.5,NA,1
"101","2024-10-05 04:00:00",21,12.4,58,0,NA,152,11.2,NA,1020.6,NA,1
"102","2024-10-05 05:00:00",20.3,12.5,61,0,NA,157,10.8,NA,1020.5,NA,1
"103","2024-10-05 06:00:00",19.8,12.6,63,0,NA,162,11.2,NA,1020.3,NA,1
"104","2024-10-05 07:00:00",19.3,12.8,66,0,NA,164,10.4,NA,1020.1,NA,1
"105","2024-10-05 08:00:00",19,13.2,69,0,NA,167,9.4,NA,1020,NA,1
"106","2024-10-05 09:00:00",18.7,13.3,71,0,NA,166,9,NA,1019.8,NA,1
"107","2024-10-05 10:00:00",15,15,100,0,NA,110,5.4,NA,1021,NA,1
"108","2024-10-05 11:00:00",14,14,100,0,NA,0,0,NA,1021,NA,1
"109","2024-10-05 12:00:00",16,16,100,0,NA,110,6,NA,1022,NA,1
"110","2024-10-05 13:00:00",20,18,88,0,NA,130,5.4,NA,1022,NA,1
"111","2024-10-05 14:00:00",24,19.1,74,0,NA,180,11.2,NA,1022,NA,1
"112","2024-10-05 15:00:00",27,19.1,62,0,NA,150,9.4,NA,1022,NA,1
"113","2024-10-05 16:00:00",29,19,55,0,NA,220,14.8,NA,1022,NA,1
"114","2024-10-05 17:00:00",30,19.1,52,0,NA,220,20,NA,1021,NA,1
"115","2024-10-05 18:00:00",30,20,55,0,NA,210,16.6,NA,1020,NA,1
"116","2024-10-05 19:00:00",30,19.1,52,0,NA,260,13,NA,1019,NA,1
"117","2024-10-05 20:00:00",31,19,49,0,NA,220,7.6,NA,1018,NA,1
"118","2024-10-05 21:00:00",31,19,49,0,NA,210,11.2,NA,1018,NA,1
"119","2024-10-05 22:00:00",30,20,55,0,NA,170,17,NA,1018,NA,1
"120","2024-10-05 23:00:00",28,19,58,0,NA,190,17,NA,1018,NA,1
"121","2024-10-06 00:00:00",26,17.9,61,0,NA,220,5.4,NA,1018,NA,1
"122","2024-10-06 01:00:00",22,18,78,0,NA,0,0,NA,1018,NA,1
"123","2024-10-06 02:00:00",22.2,15.8,67,0,NA,180,6.8,NA,1016.9,NA,1
"124","2024-10-06 03:00:00",20.8,15.8,73,0,NA,143,7.9,NA,1017.4,NA,1
"125","2024-10-06 04:00:00",19.9,15.7,77,0,NA,139,10.1,NA,1018,NA,1
"126","2024-10-06 05:00:00",19.7,15.1,75,0,NA,153,10.8,NA,1018.1,NA,1
"127","2024-10-06 06:00:00",19.9,15.1,74,0,NA,176,12.2,NA,1018.2,NA,1
"128","2024-10-06 07:00:00",19.8,15.4,76,0,NA,186,11.5,NA,1018.1,NA,1
"129","2024-10-06 08:00:00",19.7,15.8,78,0,NA,198,9.7,NA,1017.9,NA,1
"130","2024-10-06 09:00:00",19.3,15.6,79,0,NA,204,10.1,NA,1017.7,NA,1
"131","2024-10-06 10:00:00",16,16,100,0,NA,0,0,NA,1020,NA,1
"132","2024-10-06 11:00:00",15,15,100,0,NA,0,0,NA,1021,NA,1
"133","2024-10-06 12:00:00",15,15,100,0,NA,0,0,NA,1021,NA,1
"134","2024-10-06 13:00:00",21,21,100,0,NA,250,8.3,NA,1022,NA,1
"135","2024-10-06 14:00:00",24,19.9,78,0,NA,241,5.4,NA,1022,NA,1
"136","2024-10-06 15:00:00",28,21.1,66,0,NA,310,14.8,NA,1022,NA,1
"137","2024-10-06 16:00:00",29,21,62,0,NA,340,14.8,NA,1022,NA,1
"138","2024-10-06 17:00:00",30,20,55,0,NA,310,20,NA,1022,NA,1
"139","2024-10-06 18:00:00",31,20,52,0,NA,300,16.6,NA,1021,NA,1
"140","2024-10-06 19:00:00",31,20,52,0,NA,320,16.6,NA,1020,NA,1
"141","2024-10-06 20:00:00",31,19,49,0,NA,320,16.6,NA,1020,NA,1
"142","2024-10-06 21:00:00",31,20,52,0,NA,340,17,NA,1019,NA,1
"143","2024-10-06 22:00:00",29,18.2,52,0,NA,20,20.5,NA,1020,NA,1
"144","2024-10-06 23:00:00",27,15.1,48,0,NA,360,20.5,NA,1020,NA,2
"145","2024-10-07 00:00:00",25,10.1,39,0,NA,10,13,NA,1021,NA,2
"146","2024-10-07 01:00:00",23,7.9,38,0,NA,10,11.2,NA,1021,NA,1
"147","2024-10-07 02:00:00",21.5,3.2,30,0,NA,19,12.6,NA,1020,NA,1
"148","2024-10-07 03:00:00",20.2,3.4,33,0,NA,27,11.9,NA,1020.4,NA,1
"149","2024-10-07 04:00:00",19,3.6,36,0,NA,35,10.8,NA,1020.8,NA,1
"150","2024-10-07 05:00:00",17.8,4,40,0,NA,40,10.1,NA,1021.1,NA,1
"151","2024-10-07 06:00:00",17.2,4.8,44,0,NA,40,10.8,NA,1021,NA,1
"152","2024-10-07 07:00:00",16.6,5.2,47,0,NA,34,11.2,NA,1020.9,NA,1
"153","2024-10-07 08:00:00",16.1,6,51,0,NA,38,11.9,NA,1020.5,NA,1
"154","2024-10-07 09:00:00",15.5,6,53,0,NA,42,11.2,NA,1020.5,NA,1
"155","2024-10-07 10:00:00",14,8,67,0,NA,60,9.4,NA,1022,NA,1
"156","2024-10-07 11:00:00",13,8.1,72,0,NA,60,9.4,NA,1022,NA,1
"157","2024-10-07 12:00:00",13,8.1,72,0,NA,61,11.2,NA,1023,NA,1
"158","2024-10-07 13:00:00",16,7,55,0,NA,70,9.4,NA,1023,NA,1
"159","2024-10-07 14:00:00",17,7.1,52,0,NA,60,20.5,NA,1023,NA,1
"160","2024-10-07 15:00:00",19,8,49,0,NA,80,14.8,NA,1023,NA,1
"161","2024-10-07 16:00:00",22,8.1,41,0,NA,40,9.4,NA,1023,NA,1
"162","2024-10-07 17:00:00",23,9,41,0,NA,10,11,NA,1022,NA,1
"163","2024-10-07 18:00:00",24,8,36,0,NA,360,9.4,NA,1021,NA,1
"164","2024-10-07 19:00:00",25,8.1,34,0,NA,20,13,NA,1020,NA,1
"165","2024-10-07 20:00:00",25,8.1,34,0,NA,10,11.2,NA,1019,NA,1
"166","2024-10-07 21:00:00",25,7.2,32,0,NA,30,14.8,NA,1019,NA,1
"167","2024-10-07 22:00:00",24,7.2,34,0,NA,50,9,NA,1018,NA,1
"168","2024-10-07 23:00:00",22,7,38,0,NA,40,7.6,NA,1018,NA,1
"169","2024-10-08 00:00:00",18,8,52,0,NA,0,0,NA,1019,NA,1
"170","2024-10-08 01:00:00",17,7.1,52,0,NA,40,7.6,NA,1019,NA,1
"171","2024-10-08 02:00:00",17.3,5.9,47,0,NA,55,9.7,NA,1018,NA,1
"172","2024-10-08 03:00:00",16.6,5.8,49,0,NA,55,11.2,NA,1018.2,NA,1
"173","2024-10-08 04:00:00",15.9,5.5,50,0,NA,58,10.8,NA,1018.4,NA,1
"174","2024-10-08 05:00:00",14.9,6.2,56,0,NA,60,11.5,NA,1018.6,NA,1
"175","2024-10-08 06:00:00",14,6.6,61,0,NA,70,11.2,NA,1018.8,NA,1
"176","2024-10-08 07:00:00",13.4,6,61,0,NA,79,10.4,NA,1018.7,NA,1
"177","2024-10-08 08:00:00",12.9,5.6,61,0,NA,87,10.4,NA,1018.7,NA,1
"178","2024-10-08 09:00:00",12.5,4.9,60,0,NA,91,10.1,NA,1018,NA,1
"179","2024-10-08 10:00:00",9,6.1,82,0,NA,0,0,NA,1019,NA,1
"180","2024-10-08 11:00:00",10,6,76,0,NA,0,0,NA,1019,NA,1
"181","2024-10-08 12:00:00",11,6.9,76,0,NA,90,6,NA,1020,NA,1
"182","2024-10-08 13:00:00",12,6.1,67,0,NA,90,13,NA,1020,NA,1
"183","2024-10-08 14:00:00",15,7.1,59,0,NA,0,0,NA,1020,NA,1
"184","2024-10-08 15:00:00",20,8,46,0,NA,80,13,NA,1020,NA,1
"185","2024-10-08 16:00:00",21,7.9,43,0,NA,110,7.6,NA,1020,NA,1
"186","2024-10-08 17:00:00",23,7.1,36,0,NA,90,7,NA,1019,NA,1
"187","2024-10-08 18:00:00",24,7.2,34,0,NA,0,0,NA,1018,NA,1
"188","2024-10-08 19:00:00",25,8.1,34,0,NA,0,0,NA,1017,NA,1
"189","2024-10-08 20:00:00",26,7.1,30,0,NA,340,11.2,NA,1017,NA,1
"190","2024-10-08 21:00:00",25,6.2,30,0,NA,50,11,NA,1017,NA,1
"191","2024-10-08 22:00:00",24,7.2,34,0,NA,50,5.4,NA,1017,NA,1
"192","2024-10-08 23:00:00",22,7,38,0,NA,0,0,NA,1017,NA,1
"193","2024-10-09 00:00:00",20,7,43,0,NA,60,7.6,NA,1017,NA,1
"194","2024-10-09 01:00:00",19,7.1,46,0,NA,70,7.6,NA,1018,NA,1
"195","2024-10-09 02:00:00",17.4,4.4,42,0,NA,85,11.2,NA,1017.1,NA,1
"196","2024-10-09 03:00:00",16.2,4.6,46,0,NA,109,10.1,NA,1017.6,NA,1
"197","2024-10-09 04:00:00",15.2,4.6,49,0,NA,123,10.1,NA,1018,NA,1
"198","2024-10-09 05:00:00",14.5,4.8,52,0,NA,135,10.1,NA,1017.7,NA,1
"199","2024-10-09 06:00:00",14,4.8,54,0,NA,132,9,NA,1017.6,NA,1
"200","2024-10-09 07:00:00",13.5,4.6,55,0,NA,133,9,NA,1018,NA,1
"201","2024-10-09 08:00:00",13.1,4.8,57,0,NA,135,8.6,NA,1018.1,NA,1
"202","2024-10-09 09:00:00",12.7,4.6,58,0,NA,136,7.9,NA,1017.8,NA,1
"203","2024-10-09 10:00:00",11,6.9,76,0,NA,123,7.2,NA,1019,NA,1
"204","2024-10-09 11:00:00",10,7.1,82,0,NA,120,6.1,NA,1019,NA,1
"205","2024-10-09 12:00:00",11,8,82,0,NA,90,7.6,NA,1020,NA,1
"206","2024-10-09 13:00:00",14,8,67,0,NA,90,7.6,NA,1020,NA,1
"207","2024-10-09 14:00:00",18,9.1,56,0,NA,120,5.4,NA,1021,NA,1
"208","2024-10-09 15:00:00",21,8.9,46,0,NA,0,0,NA,1021,NA,1
"209","2024-10-09 16:00:00",23,9,41,0,NA,0,0,NA,1020,NA,1
"210","2024-10-09 17:00:00",25,8.1,34,0,NA,58,7.2,NA,1020,NA,3
"211","2024-10-09 18:00:00",26,8,32,0,NA,0,0,NA,1019,NA,3
"212","2024-10-09 19:00:00",27,8.9,32,0,NA,90,9.4,NA,1018,NA,3
"213","2024-10-09 20:00:00",27,8.9,32,0,NA,60,6.8,NA,1018,NA,1
"214","2024-10-09 21:00:00",27,8,30,0,NA,0,0,NA,1017,NA,1
"215","2024-10-09 22:00:00",27,8,30,0,NA,52,5.4,NA,1017,NA,1
"216","2024-10-09 23:00:00",23,9,41,0,NA,33,5.4,NA,1017,NA,1
"217","2024-10-10 00:00:00",20,8,46,0,NA,0,0,NA,1018,NA,1
